Dinosaur|6.5
Harry Potter and the Deathly Hallows: Part II|7.5
Night at the Museum: Secret of the Tomb|6.2
Megamind|7.3
Harry Potter and the Sorcerer's Stone|7.5
R.I.P.D.|5.6
Godzilla Resurgence|8.2
Pirates of the Caribbean: The Curse of the Black Pearl|8.1
Harry Potter and the Deathly Hallows: Part I|6.4
The Hunger Games: Mockingjay - Part 1|6.7
The Da Vinci Code|6.6
Rio 2|6.4
X-Men 2|7.5
Fast Five|7.3
Sherlock Holmes: A Game of Shadows|7.5
Clash of the Titans|5.8
Total Recall|7.5
The 13th Warrior|6.6
The Bourne Legacy|6.7
Batman & Robin|3.7
How the Grinch Stole Christmas|6.0
The Day After Tomorrow|6.4
Mission: Impossible II|6.1
The Perfect Storm|6.4
Fantastic 4: Rise of the Silver Surfer|5.6
Life of Pi|8.0
Ghost Rider|5.2
Jason Bourne|7.1
Charlie's Angels: Full Throttle|4.8
Prometheus|7.0
Stuart Little 2|5.4
Elysium|6.6
The Chronicles of Riddick|6.7
RoboCop|6.2
Speed Racer|6.1
How Do You Know|5.3
Knight and Day|6.3
Oblivion|7.0
Star Wars: Episode III - Revenge of the Sith|7.6
Star Wars: Episode II - Attack of the Clones|6.7
Monsters, Inc.|8.1
The Wolverine|6.7
Star Wars: Episode I - The Phantom Menace|6.5
The Croods|7.3
Asterix at the Olympic Games|5.1
Windtalkers|6.0
The Huntsman: Winter's War|6.1
Teenage Mutant Ninja Turtles|5.9
Gravity|7.8
Dante's Peak|5.8
Teenage Mutant Ninja Turtles: Out of the Shadows|6.3
Fantastic Four|4.3
Night at the Museum|6.4
San Andreas|6.1
Tomorrow Never Dies|6.5
The Patriot|7.1
Ocean's Twelve|6.4
Mr. & Mrs. Smith|6.5
Insurgent|6.3
The Aviator|7.5
Gulliver's Travels|4.9
The Green Hornet|5.8
The A-Team|7.6
300: Rise of an Empire|6.2
The Smurfs|5.5
Home on the Range|5.4
Allegiant|5.8
Real Steel|7.1
The Smurfs 2|5.4
Speed 2: Cruise Control|3.7
Ender's Game|6.7
Live Free or Die Hard|7.2
The Lord of the Rings: The Fellowship of the Ring|8.8
Around the World in 80 Days|5.8
Ali|6.8
The Cat in the Hat|3.8
I, Robot|7.1
Kingdom of Heaven|7.2
Stuart Little|5.9
The Princess and the Frog|7.1
The Martian|8.1
10,000 B.C.|7.2
The Island|6.9
Town & Country|4.4
Gone in Sixty Seconds|6.5
Gladiator|8.5
Minority Report|7.7
Harry Potter and the Chamber of Secrets|7.4
Casino Royale|8.0
Planet of the Apes|5.7
Terminator 2: Judgment Day|8.5
Public Enemies|7.0
American Gangster|7.8
True Lies|7.2
The Taking of Pelham 1 2 3|6.4
Little Fockers|5.5
The Other Guys|6.7
Eraser|6.1
Django Unchained|8.5
The Hunchback of Notre Dame|6.9
The Emperor's New Groove|7.3
The Expendables 2|6.7
National Treasure|6.9
Eragon|5.1
Where the Wild Things Are|6.8
Pan|5.8
Epic|6.7
The Tourist|6.0
End of Days|5.7
Blood Diamond|8.0
The Wolf of Wall Street|8.2
Batman Forever|5.4
Starship Troopers|7.2
Cloud Atlas|7.5
Legend of the Guardians: The Owls of Ga'Hoole|7.0
Catwoman|3.3
Hercules|6.0
Treasure Planet|7.1
Land of the Lost|5.4
The Expendables 3|6.1
Point Break|5.3
Son of the Mask|2.2
In the Heart of the Sea|7.0
The Adventures of Pluto Nash|3.8
Green Zone|6.9
The Peanuts Movie|7.2
The Spanish Prisoner|7.3
The Mummy Returns|6.3
Gangs of New York|7.5
The Flowers of War|7.6
Surf's Up|6.8
The Stepford Wives|5.2
Black Hawk Down|7.7
The Campaign|6.2
The Fifth Element|7.7
Sex and the City 2|4.3
The Road to El Dorado|6.9
Ice Age: Continental Drift|6.6
Cinderella|7.0
The Lovely Bones|6.7
Finding Nemo|8.2
The Lord of the Rings: The Return of the King|8.9
The Lord of the Rings: The Two Towers|8.7
Seventh Son|5.5
Lara Croft: Tomb Raider|5.7
Transcendence|6.3
Jurassic Park III|5.9
Rise of the Planet of the Apes|7.6
The Spiderwick Chronicles|6.6
A Good Day to Die Hard|5.3
The Alamo|6.0
The Incredibles|8.0
Cutthroat Island|5.6
Percy Jackson & the Olympians: The Lightning Thief|5.9
